ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
B1	I/O	I/O
B2	I/O	I/O
B3	I/O	I/O
BT1	BATT_HOLDER	CR2032	HOLDER BATTERY COIN 20MM DIA THM	Coin Cell, Retainer	Coin, 20.0mm	Keystone Electronics	3003	Digikey	3003K-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?x=0&y=0&lang=en&KeyWords=3003K-ND&cur=USD
BT2	BATT_COIN		BATTERY LITHIUM COIN 3V 20MM	Lithium, 3V, 225mAh	CR2032	Panasonic - BSG	CR2032	Digikey	P189-ND	http://www.digikey.com/product-detail/en/CR2032/P189-ND/31939?cur=USD
C1	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C2	22p	cnp_3mm_disc	CAP CER 22PF 50V 5% RADIAL	22pF, 50V	Radial	Vishay BC Components	K220J15C0GF5TH5	Digikey	BC1034CT-ND	http://www.digikey.com/product-detail/en/K220J15C0GF5TH5/BC1034CT-ND/286656?cur=USD
C3	22p	cnp_3mm_disc	CAP CER 22PF 50V 5% RADIAL	22pF, 50V	Radial	Vishay BC Components	K220J15C0GF5TH5	Digikey	BC1034CT-ND	http://www.digikey.com/product-detail/en/K220J15C0GF5TH5/BC1034CT-ND/286656?cur=USD
C4	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C5	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C6	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C7	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C8	100n	C2	CAP FILM 0.1UF 63VDC RADIAL	100nF, 63V	R82	Kemet	R82DC3100AA50J	Digikey	399-5863-ND	http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
