BATT_RTC;1;"BT1";CR2032_SMD;
100n;1;"C1";c_0805;
CONN_1;4;"H1 H2 H3 H4";vite_2mm5;
CONN_2;1;"P3";pin_strip_2;
CDOT1;1;"P1";SCK-04-F-SMT;
CDOT2;1;"P2";SCK-04-F-SMT;
10k;3;"R1 R2 R3";r_0805;
DS3231;1;"U1";DS3231;
